year,title,desc
"2025","Finalist, Best Employee Award — ZOZO Group","Top 10 of 1,700+ employees."
"2024","Best Employee Award — LINE Yahoo! Group","Top 3 of 27,000+ employees. Recognized for outstanding research contributions."
"2024","Most Excellent Award, Technology Division — INTERSECTION 2024","Awarded the top prize in the Technology Division at INTERSECTION 2024 (ZOZO NEXT tech event)."
"2024","Semi Grand Prix — Souzo no Naname Ue Award 2024","Semi Grand Prix at the company-wide creative innovation award."
"2023","Most Excellent Award — JUSE Data Analysis Competition","Awarded the top prize at the 2023 JUSE (Union of Japanese Scientists and Engineers) Data Analysis Competition."
"Jun 2023","Outstanding Paper Award — JSAI Annual Conference","Awarded for research on Fashion Intelligence System at the Japanese Society for Artificial Intelligence."
"2022","Grand Prix, Best Employee Award — ZOZO Group","Top 5 of 1,700+ employees. Highest recognition for research impact and leadership."
"2019","Technical Skills Award — JUSE Data Analysis Competition","JIMA Division award at the 2019 JUSE (Union of Japanese Scientists and Engineers) Data Analysis Competition."
"Mar 2019","Best Student Award — Waseda University, Management Systems Engineering","Graduated top of class from Master's program with GPA 3.95."
"May 2018","Outstanding Student Presentation Award — JIMA Spring Conference","Japan Industrial Management Association Spring 2018 Student Presentation Competition."
"2017","Technical Skills Award — JUSE Data Analysis Competition","JIMA Division award at the 2017 JUSE (Union of Japanese Scientists and Engineers) Data Analysis Competition."
"May 2017","Outstanding Student Presentation Award — JIMA Spring Conference","Japan Industrial Management Association Spring 2017 Conference."
