year,title,desc
"2025年","最優秀社員賞 ファイナリスト — ZOZOグループ","1,700名以上の社員の中から上位10名に選出。"
"2024年","最優秀社員賞 — LINEヤフーグループ","27,000名以上の社員の中から上位3名に選出。卓越した研究貢献が評価されました。"
"2024年","最優秀賞 テクノロジー部門 — INTERSECTION 2024","INTERSECTION 2024（ZOZO NEXTテックイベント）のテクノロジー部門で最優秀賞を受賞。"
"2024年","準グランプリ — ソウゾウのナナメウエアワード 2024","全社クリエイティブイノベーションアワードにて準グランプリを受賞。"
"2023年","最優秀賞 — 日科技連データ解析コンペティション","2023年度データ解析コンペティションにて最優秀賞を受賞。"
"2023年6月","全国大会優秀賞 — 人工知能学会","Fashion Intelligence Systemに関する研究で受賞。"
"2022年","最優秀社員賞 グランプリ — ZOZOグループ","1,700名以上の中から上位5名に選出。研究成果とリーダーシップが評価されました。"
"2019年","技能賞 — 日科技連データ解析コンペティション","2019年度データ解析コンペティション 日本経営工学会部会にて受賞。"
"2019年3月","最優秀学生賞（首席卒業）— 早稲田大学大学院 経営システム工学専攻","修士課程をGPA 3.95で首席卒業。"
"2018年5月","優秀賞 — 日本経営工学会 春季学生発表大会","2018年春季学生発表大会にて受賞。"
"2017年","技能賞 — 日科技連データ解析コンペティション","2017年度データ解析コンペティション 日本経営工学会部会にて受賞。"
"2017年5月","優秀学生発表賞 — 日本経営工学会 春季大会","2017年春季大会にて受賞。"
