source,title,titleJa,url,date,category
"日経Robotics","Easier addition/removal of tasks in neural networks — new regularization by Tokyo Science Univ. & ZOZO","ニューラルネットへのタスクの追加・削除が容易に、東京科学大やZOZOの新正則化技術",https://xtech.nikkei.com/atcl/nxt/mag/rob/18/012600001/00173/?P=3,"Aug 2025",
"日本経済新聞","AI provides fashion advice for ambiguous questions — ZOZO & Waseda","「カジュアルな装いとは？」AIがファッション助言　ZOZO系・早大　曖昧な質問も対応",https://www.nikkei.com/article/DGKKZO66764470S2A211C2TEB000/,"Dec 2022",
"ZOZO NEXT","ZOZO Research paper accepted at The Web Conference 2025","ZOZO研究所の論文がThe Web Conference 2025に採択",https://zozonext.com/news/20250203_zozoresearch,"Feb 2025",
"ZOZO NEXT","Two papers accepted at ICLR 2025","ICLR 2025に2本の論文が採択",https://zozonext.com/news/20250217_zozoresearch,"Feb 2025",
"ZOZO NEXT","Joint research with CIT accepted at IJCAI 2025","千葉工業大学との共同研究がIJCAI 2025に採択",https://zozonext.com/news/20250526_zozoresearch,"May 2025",
"ZOZO NEXT","ZOZO Research paper accepted at EMNLP 2025","ZOZO研究所の論文がEMNLP 2025に採択",https://zozonext.com/news/20251016_zozoresearch,"Oct 2025",
"ZOZO NEXT","AI interpreting individual fashion item characteristics","個々のファッションアイテムの特徴に着目した曖昧なファッション表現を自動解釈するAI技術を開発",https://zozonext.com/news/20230808_zozoresearch,"Aug 2023",
"Waseda Univ.","AI That Interprets Fashion Items — Waseda × ZOZO Research","ファッションアイテムまで解釈するAI — 早稲田大学×ZOZO研究所",https://www.waseda.jp/top/news/92745,"Aug 2023",
"PR Times","AI technology to automatically interpret ambiguous fashion expressions","曖昧なファッションの表現をAIが自動で解釈する技術を開発",https://prtimes.jp/main/html/rd/p/000000100.000096287.html,"Nov 2022",
"FNN","AI that understands ambiguous fashion expressions","曖昧なファッション表現を理解するAI",https://www.fnn.jp/articles/-/452781,"Dec 2022",
"ZOZO NEXT","ZOZO Research paper accepted at ICLR 2024","ZOZO研究所の論文がICLR 2024に採択",https://zozonext.com/news/20240214_zozoresearch,"Feb 2024",
"ほとゼロ","Interview: Understanding Fashion Intelligence System — with Prof. Goto & Shimizu","インタビュー：曖昧なファッション表現に対するAIの回答 — 後藤教授・清水良太郎",https://hotozero.com/knowledge/fis/,"Jun 2023",interview
"ZOZO Tech Note","Interview: Research Scientist at ZOZO Research","インタビュー：ZOZO研究所の研究者としての歩み",https://technote.zozo.com/n/n8d261b1d4785,"2023",interview
"ZOZO Tech Blog","Tech blog on Wantedly — ZOZO Engineering","ZOZOテクノロジーズ テックブログ",https://www.wantedly.com/companies/zozo-tech/post_articles/336169,"Sep 2021",blog
