date,text,isNew
"Feb 2026","Promoted to Director of Deployment Department at ZOZO Research.",true
"Feb 2026","Two papers accepted at ICLR 2026 (top ML conference).",true
"Sep 2025","Paper accepted at <a href=""https://zozonext.com/news/20251016_zozoresearch"" target=""_blank"">EMNLP 2025</a>.",false
"May 2025","Joint research with CIT accepted at <a href=""https://zozonext.com/news/20250526_zozoresearch"" target=""_blank"">IJCAI 2025</a>.",false
"Feb 2025","Paper accepted at <a href=""https://zozonext.com/news/20250203_zozoresearch"" target=""_blank"">The Web Conference (WWW) 2025</a>.",false
"Jan 2025","Paper accepted at <a href=""https://zozonext.com/news/20250217_zozoresearch"" target=""_blank"">ICLR 2025</a>.",false
"2025","Paper accepted at COLM 2025.",false
"2025","Paper accepted at RecSys 2025 (Late-Breaking Results).",false
"2025","Paper accepted at ICME 2025 (Oral).",false
"2024","Received Best Employee Award at LINE Yahoo! Group (top 3 of 27,000+ employees).",false
"Jul 2023","Started as Visiting Researcher at UC San Diego, Computer Science Department.",false
