title,authors,venue,year,date,type,citations,paper_link
"On Fairness of Task Arithmetic: The Role of Task Vectors","Laura Gomezjurado Gonzalez|Hiroki Naganuma|Kotaro Yoshida|Takafumi Horie|Yuji Naraki|Ryotaro Shimizu",ICLR,2026,May 2026,conference,0,https://openreview.net/forum?id=LN1kzPFqJl
"DisTaC: Conditioning Task Vectors via Distillation for Robust Model Merging","Kotaro Yoshida|Yuji Naraki|Takafumi Horie|Ryotaro Shimizu|Ioannis Mitliagkas|Hiroki Naganuma",ICLR,2026,May 2026,conference,0,https://arxiv.org/abs/2508.01148
"Disentangling Likes and Dislikes in Personalized Generative Explainable Recommendation","Ryotaro Shimizu|Takashi Wada|Yu Wang|Johannes Kruse|Sean O'Brien|Sai HtaungKham|Linxin Song|Yuya Yoshikawa|Yuki Saito|Fugee Tsung|Masayuki Goto|Julian McAuley",The Web Conference (WWW),2025,Apr 2025,conference,2,https://doi.org/10.1145/3696410.3714583
"Mastering Task Arithmetic: τJp as a Key Indicator for Weight Disentanglement","Kotaro Yoshida|Yuji Naraki|Takafumi Horie|Ryosuke Yamaki|Ryotaro Shimizu|Yuki Saito|Julian McAuley|Hiroki Naganuma",ICLR,2025,Apr 2025,conference,0,https://openreview.net/forum?id=1VwWi6zbxs
"Explaining Black-box Model Predictions via Two-level Nested Feature Attributions with Consistency Property","Yuya Yoshikawa|Masanari Kimura|Ryotaro Shimizu|Yuki Saito",IJCAI,2025,Aug 2025,conference,0,
"Discovering Knowledge Deficiencies of Language Models on Massive Knowledge Base","Linxin Song|Xuwei Ding|Jieyu Zhang|Taiwei Shi|Ryotaro Shimizu|Rahul Gupta|Yang Liu|Jian Kang|Jieyu Zhao",COLM,2025,Oct 2025,conference,0,
"Static Word Embeddings for Sentence Semantic Representation","Takashi Wada|Yuki Hirakawa|Ryotaro Shimizu|Takahiro Kawashima|Yuki Saito",EMNLP,2025,Nov 2025,conference,0,
"Attributed Synthetic Data Generation for Zero-shot Domain-specific Image Classification","Shijian Wang|Linxin Song|Ryotaro Shimizu|Masayuki Goto|Hanqian Wu",ICME,2025,Jun 2025,conference,0,
"Normative Alignment of Recommender Systems via Internal Label Shift","Ryotaro Shimizu|et al.",RecSys (Late-Breaking Results),2025,Sep 2025,conference,0,
"Optimizing Pre-training via Target-Aware Source Data Selection","Kanyu Miyoshi|Ryotaro Shimizu|Linxin Song|Masayuki Goto",Knowledge-Based Systems,2025,,journal,0,
"Generating Realistic Synthetic Tabular Data with Integrated LLM and Diffusion Models","Tokimasa Isomura|Ryotaro Shimizu|Masayuki Goto",Neurocomputing,2025,Sep 2025,journal,0,
"Continual Learning Model with Dynamic Adaptation and Flexibility for Incremental Classes","Minami Hotta|Noriko Ogasawara|Kengo Miyajima|Ryotaro Shimizu|Masayuki Goto",Applied Sciences,2025,Nov 2025,journal,0,
"商品階層を自動構造化するトピックモデルの提案と小売販売データ分析への適用","藤田柊子|石井達也|磯村時将|米田安希子|清水良太郎|後藤正幸",日本経営工学会論文誌,2025,,journal,0,https://www.jstage.jst.go.jp/article/jima/76/2/76_37/_article/-char/ja/
"Sparse Attention Is All You Need for Pre-training on Tabular Data","Tokimasa Isomura|Ryotaro Shimizu|Masayuki Goto",Neural Computing and Applications,2025,Jan 2025,journal,0,https://doi.org/10.1007/s00521-024-10698-x
"LARE: Latent Augmentation using Regional Embedding with Vision-Language Model","Kosuke Sakurai|Tatsuya Ishii|Ryotaro Shimizu|Linxin Song|Masayuki Goto",Machine Learning with Applications,2025,May 2025,journal,0,https://arxiv.org/abs/2409.12597
"Template Matters: Understanding the Role of Instruction Templates in Multimodal Language Model Evaluation and Training","Shijian Wang|Linxin Song|Jieyu Zhang|Ryotaro Shimizu|Ao Luo|Li Yao|Cunjian Chen|Julian McAuley|Hanqian Wu",ICLR 2025 Workshop,2025,Apr 2025,workshop,0,
"Investigating the Scaling Effect of Instruction Templates for Training Multimodal Language Model","Shijian Wang|Linxin Song|Jieyu Zhang|Ryotaro Shimizu|Ao Luo|Li Yao|Cunjian Chen|Julian McAuley|Hanqian Wu",CVPR 2025 Workshop,2025,Jun 2025,workshop,0,
"On Fairness of Task Arithmetic: The Role of Task Vectors","Laura Gomezjurado Gonzalez|Hiroki Naganuma|Kotaro Yoshida|Takafumi Horie|Yuji Naraki|Ryotaro Shimizu",NeurIPS 2025 Workshop,2025,Dec 2025,workshop,0,
"Discovering Knowledge Deficiencies of Language Models on Massive Knowledge Base","Linxin Song|Xuwei Ding|Jieyu Zhang|Taiwei Shi|Ryotaro Shimizu|Rahul Gupta|Yang Liu|Jian Kang|Jieyu Zhao",NeurIPS 2025 Workshop,2025,Dec 2025,workshop,0,
"Fashionability-Enhancing Outfit Image Editing with Conditional Diffusion Models","Qice Qin|Yuki Hirakawa|Ryotaro Shimizu|Takuya Furusawa|Edgar Simo-Serra",WACV 2025 Workshop,2025,Mar 2025,workshop,0,
"曖昧なファッション表現を扱う画像検索のための一般投稿データ対応法の検討","堀田南|清水良太郎|平川優伎|後藤正幸",MIRU 2025,2025,Jul 2025,domestic,0,
"衣服のサイズを考慮した着用画像生成の検討","古澤拓也|清水良太郎|和田崇史",MIRU 2025,2025,Jul 2025,domestic,0,
"LLMOverTab: Tabular Data Augmentation with Language Model-Driven Oversampling","Tokimasa Isomura|Ryotaro Shimizu|Masayuki Goto",Expert Systems with Applications,2024,Nov 2024,journal,6,
