year,yearJa,type,title,titleJa,desc,descJa,link,image
May 2026,2026年5月,presentation,IR Reading 2026 Spring,IR Reading 2026春,Introduced a paper accepted to the SIGIR 2026 industry track.,SIGIR 2026 industry track に採択された論文の紹介を行いました。,https://sigirtokyo.github.io/post/2026-05-30-irreading_2026spring/,
Apr 2026,2026年4月,presentation,Corporate R&D Meetup (ZOZO × Mercari × LayerX × CyberAgent),【ZOZO x Mercari x LayerX x CyberAgent】企業R&D勉強会,"""The Steady, Essential Work of Delivering Research to the Entire Company — Building a Fashion-Specific VLM Benchmark"" — Co-organized with Mercari, LayerX, and CyberAgent. Tokyo.",「研究を全社に届けるための地道で大事な仕事 ― ファッション特化VLMベンチマークの構築」— Mercari・LayerX・CyberAgentと共同主催。東京。,https://layerx.connpass.com/event/388018/,pics/20260424_layerx.jpg
Sep 2025,2025年9月,invited,WebDB Summer Workshop 2025,WebDB夏のワークショップ2025,"""Data Science for Interpreting Ambiguous Fashion"" — Hamamatsu, Japan",「曖昧なファッションを解釈するためのデータサイエンス」— 浜松,https://shoji-lab.github.io/%E7%99%BA%E8%A1%A8/2025/09/18/WebDB_present.html,pics/presentation_photo.jpg
Jun 2025,2025年6月,invited,Sorbonne University IMCDS — Guest Lecture in Tokyo (Organizer & Speaker),ソルボンヌ大学 IMCDS — 東京招待講演（主催・講演）,Organized and presented a research lecture to visiting Sorbonne IMCDS Master's students on AI applications in fashion.,ソルボンヌ大学IMCDSの来日学生に対し、ファッションにおけるAI応用に関する研究講演を主催・実施。,https://www.linkedin.com/posts/master-imcds_imcds-artificialintelligence-machinelearning-activity-7336640518459731968-Cb20,pics/sorbonne_lecture.jpg
2024,2024年,award,INTERSECTION 2024,INTERSECTION 2024,"""Fashion Intelligence System: Fashion-Specific Ambiguous Expression Interpretation"" — Presented at INTERSECTION 2024 (LINE Yahoo! Group).",「Fashion Intelligence System: ファッション特有の曖昧な表現解釈」— INTERSECTION 2024（LINEヤフーグループ）にて発表。,https://www.youtube.com/watch?v=KPPt2ULldfg,pics/hero_background.jpg
2024,2024年,invited,HKUST — Joint Research Workshop,HKUST（香港科学技術大学）— 共同研究会,Presented research on explainable recommendation at a joint workshop with Prof. Fugee Tsung's research group at the Hong Kong University of Science and Technology (HKUST).,香港科学技術大学（HKUST）のFugee Tsung教授の研究グループとの共同研究会にて、説明可能推薦に関する取り組みの内容を発表。,https://mp.weixin.qq.com/s/oV9g3iT__amGKFRSTCDXYA,pics/hkust.png
Dec 2023,2023年12月,presentation,CCSE 2023 — Fashion Expression Interpretation,CCSE 2023 — ファッション表現解釈,"""A System for Interpreting Fashion-Specific Ambiguous Expressions Using Vision-Language Models"" — Conference on Computer Science for Enterprise.",「画像言語モデルを用いたファッション特有の曖昧な表現を解釈するシステム」— CCSE 2023にて発表。,https://ccse.jp/2023/speakers/,
Mar 2023,2023年3月,invited,AZEST Spark Labs — Fashion Intelligence System,AZEST Spark Labs — Fashion Intelligence System,"""Fashion Intelligence System"" — Presented AI-driven fashion interpretation technology to AZEST employees and industry professionals.",「Fashion Intelligence System」— AZEST社員・業界関係者にAIファッション解釈技術を講演。,https://www.azest.co.jp/sparklabs/lab-868/,pics/azest_lab_2.png
Dec 2021,2021年12月,presentation,CCSE 2021 — Potential Customer Discovery,CCSE 2021 — 潜在顧客発見,"""Discovery of Potential Customers Using External Domain Data"" — Conference on Computer Science for Enterprise.",「外部ドメインデータを活用した潜在顧客発見に向けた取り組み」— CCSE 2021にて発表。,https://ccse.jp/2021/timetable/,
Dec 2021,2021年12月,invited,CCSE 2021 — Panel Discussion,CCSE 2021 — パネルディスカッション,"""Research Planning in Corporate Settings"" — Panel discussion at Conference on Computer Science for Enterprise (CCSE 2021).",「企業の研究における研究計画の作り方」— CCSE 2021にてパネルディスカッションに登壇。,https://ccse.jp/2021/talksessions/,
Oct 2019,2019年10月,presentation,DeNA Tech Talk — Tennis SNS for 400 Users,DeNA全社テックトーク — テニス大会SNSの開発,"""How a New Graduate Engineer Developed a Tennis Tournament SNS Used by 400 People in One Month"" — Company-wide tech talk at DeNA.",「新卒未経験エンジニアが1ヶ月で開発したテニス大会用のSNSを400人に使ってもらった話」— DeNA全社テックトーク。,,pics/dena_techtalk.jpg
Sep 2019,2019年9月,invited,AZEST Inc. Tech Talk,AZEST株式会社 テックトーク,Technical presentation on machine learning engineering.,機械学習エンジニアリングに関する技術講演。,,pics/azest_lab_1.jpeg
